"ID_Substanz";"Name";"Parameter-ID";"CASNr - Gemisch";"Kommentar";"Chem_ID_OZ";"Micropol_ID";"AnalytikDB_ID";"PPDB_ID";"relevante Isomere";"InChIKey"
680;"Silber-Zeolith";;"130328-18-6";;;;;;;
681;"Silber-Zink-Zeolith";;"130328-20-0";;;;;;;
683;"Phenothrin";"Phenothrin";"188023-86-1";;592;;3218;517;1;"SBNFWQZLDJGRLK-UHFFFAOYSA-N"
687;"Esbiothrin";;"84030-86-4";"584-79-2";;;;;;
688;"Povidon-Iod";;"25655-41-8";;;;;;;"CPKVUHPKYQGHMW-UHFFFAOYSA-N"
689;"Poly(dimethylamine-co-epichlorohydrin)";;"25988-97-0";;;;;;;
690;"Polymer Aus Formaldehyd Und Acrolein";;"26781-23-7";;;;;;;
693;"N,N,N′,N′–Tetramethylethylendiaminbis(2-chlorethyl)ether-Copolymer";;"31075-24-8";;;;;;;
694;"Poly(hexamethylendiaminguanidiniumchlorid)";;"31961-54-3";;;;;;;
695;"Polyhexamethylenbiguanid";;"28757-47-3";"27083-27-8/32289-58-0";388;;;;;
696;"Didecyl-methyl-poly(oxyethyl)ammoniumpropionat";;"94667-33-1";;;;;;;
697;"Copolymer, Basis: Prop-2-enal und Propan-1,2-diol";;"191546-07-3";;;;;;;
698;"Didecylpolyoxethylammoniumborat";;"214710-34-6";;;;;;;
699;"Oligo(2-(2-ethoxy)ethoxyethylguanidiniumchlorid)";;"374572-91-5";;;;;;;
701;"Acrolein";;"107-02-8";;;;;1016;;"HGINCPLSRVDWNT-UHFFFAOYSA-N"
702;"Metofluthrin";"Metofluthrin";"240494-70-6";;;;4232;1235;;"KVIZNNVXXNFLMU-UHFFFAOYSA-N"
703;"1-Decanol";;"112-30-1";"";1;;;1732;;"MWKFXSUHUHTGQN-UHFFFAOYSA-N"
707;"Bifenazat";"Bifenazat";"149877-41-8";"";71;;3506;76;;"VHLKTXFWDRXILV-UHFFFAOYSA-N"
708;"Calciumchlorid";;"10043-52-4";"";;;10426;109;;"UXVMQQNJUSDDNG-UHFFFAOYSA-L"
710;"Cyflufenamid";"Cyflufenamid";"180409-60-3";"";138;;3481;191;;"ACMXQHFNODYQAT-TWGOXAJXNA-N"
711;"E2,Z13-18 Ac";;"086252-74-6";"";;;;;;
712;"E3,Z13-18 Ac";;"053120-26-6";"";;;;;;
713;"Essigsäure";" Essigsaeure";"64-19-7";"";;;;1333;;"QTBSBXVTEAMEQO-UHFFFAOYSA-N"
714;"Gibberellin A4+A7";;"8030-53-3";"A4: 468-44-0/A7: 510-75-8, in der PSMV steht 8030-53-3, BLW Statistikdaten nein";;;;1671;;
716;"Montanwachssäureester";;"506-48-9";"Netzmittel";;;;;;
719;"Dichlorprop";"Dichlorprop";"15165-67-0";"Dies ist die Cas-Nr von dichloprop P  di. hat 120-36-5";507;56233761;270;219;1;"MZHCENGPTKEIGP-UHFFFAOYSA-N"
721;"3-5-6-Trichlor-2-pyridinol";"3-5-6-Trichlor-2-pyridinol";"6515-38-4";;483;58658264;2704;731;;"WCYYAQFQZQEUEN-UHFFFAOYSA-N"
722;"2_Isopropyl_6_methyl_4_pyrimidinol";"Pyrimidinol";"2814-20-2";;;;2706;758;;"AJPIUNPJBFBUKK-UHFFFAOYSA-N"
723;"Fipronil-sulfid";"Fipronil-sulfid";"120067-83-6";;;56233923;2668;803;;"FQXWEKADCSXYOC-UHFFFAOYSA-N"
724;"Fipronil-sulfon";"Fipronil-sulfon";"120068-36-2";;;56233924;2667;802;;"LGHZJDKSVUTELU-UHFFFAOYSA-N"
725;"Imidacloprid-desnitro";"Desnitro-imidacloprid";"115970-17-7";;;;3059;;;"UEQZFAGVRGWPDK-UHFFFAOYSA-N"
726;"Imidaclopridharnstoff";"Imidaclopridharnstoff";"120868-66-8";;;;2956;;;"ADWTYURAFSWNSU-UHFFFAOYSA-N"
727;"Methiocarb-sulfoxid";"Methiocarb-sulfoxid";"2635-10-1";;325;;2953;891;;"FNCMBMZOZQAWJA-UHFFFAOYSA-N"
728;"Thiaclopridamid";"Thiaclopridamid";"676228-91-4";;455;;2955;1444;;"LEZHOZPJYAQQNU-UVTDQMKNSA-N"
729;"Azoxystrobinsäure";"Azoxystrobinsaeure";"1185255-09-7";;;;2734;698;;"IKCXDZCEWZARFL-FOWTUZBSSA-N"
730;"Acetochlor";"Acetochlor";"34256-82-1";;25;56233739;104;12;;"VTNQPKFIQCLBDU-UHFFFAOYSA-N"
731;"Dinoseb";"Dinoseb";"88-85-7";;179;221;257;251;;"OWZPCEFYPSAJFR-UHFFFAOYSA-N"
732;"Hexazinon";"Hexazinon";"51235-04-2";;257;188;256;384;;"CAWXEEYDBZRFPE-UHFFFAOYSA-N"
733;"Monuron";"Monuron";"150-68-5";;340;56233803;161;476;;"BMLIZLVNXIYGCK-UHFFFAOYSA-N"
734;"Prometon";"Prometon";"1610-18-0";;391;56233819;132;541;;"ISEUFVQQFVOBCY-UHFFFAOYSA-N"
735;"Simeton";"Simeton";"673-04-1";;;56233829;667;3629;;"HKAMKLBXTLTVCN-UHFFFAOYSA-N"
736;"Terbumeton";"Terbumeton";"33693-04-8";;445;411;346;622;;"BCQMBFHBDZVHKU-UHFFFAOYSA-N"
737;"Tebutam";"Tebutam";"35256-85-0";;438;409;255;613;;"RJKCKKDSSSRYCB-UHFFFAOYSA-N"
738;"Metamitron-Desamino";"Desamino-metamitron";"36993-94-9";;;56233794;4;888;;"OUSYWCQYMPDAEO-UHFFFAOYSA-N"
739;"Metolachlor-Morpholinon";"Metolachlor-morpholinon";"120375-14-6";;;58658351;67;;;"DVBDYPDVNRJKNJ-UHFFFAOYSA-N"
740;"2,6-Dichlorbenzamid";"2-6-Dichlorbenzamid";"2008-58-4";;585;56233846;85;817;;"JHSPCUHPSIUQRB-UHFFFAOYSA-N"
741;"Metribuzin-Desamino";"Desamino-metribuzin";"35045-02-4";;;56233801;91;3158;;"MIWRSUQXSCLDNV-UHFFFAOYSA-N"
742;"Bifenox-Säure";"Bifenoxsaeure";"53774-07-5";;;58658298;109;704;;"IUSYSZLVZMUVDO-UHFFFAOYSA-N"
743;"Ethofumesat-2-keto";"2-Keto-ethofumesat";"26244-33-7";;;56233771;118;;;"CXWYCAYNZXSHTF-UHFFFAOYSA-N"
744;"2-Amino-4-methoxy-6-methyl-1,3,5 triazin";"2-Amino-4-methoxy-6-methyl-1-3-5-triazin";"1668-54-8";;474;56233847;125;1092;;"NXFQWRWXEYTOTK-UHFFFAOYSA-N"
745;"2-Aminobenzimidazol";"2-Amino-benzimidazol";"934-32-7";;;56233848;138;715;;"JWYUFVNJZUSCSM-UHFFFAOYSA-N"
746;"Trinexapac-Säure";"Trinexapac_CGA_179500";"104273-73-6";;;58658406;150;991;;"DFFWZNDCNBOKDI-UHFFFAOYSA-N"
747;"Dimethenamid-OXA";"Dimethenamid-OXA";"380412-59-9";;;56233767;259;771;;"HOYCASTVMCEOTP-UHFFFAOYSA-N"
748;"Dimethenamid-ESA";"Dimethenamid-ESA";"205939-58-8";;;56233766;260;772;;"YMYKMSAZEZQEER-UHFFFAOYSA-N"
749;"Mesotrion-MNBA";"Mesotrion-MNBA";"110964-79-9";;;58658347;263;884;;"QNOUABMNRMROSL-UHFFFAOYSA-N"
750;"Metolachlor-OXA";"Metolachlor-OXA";"152019-73-3";;549;56233800;265;1505;;"LNOOSYCKMKZOJB-UHFFFAOYSA-N"
751;"Atrazin-desethyl-2-hydroxy";"Desethyl-2-hydroxy-atrazin";"19988-24-0";;;208;277;;;"GCKLGRUZDXSATG-UHFFFAOYSA-N"
752;"Atrazin-2-Hydroxy";"2-Hydroxy-atrazin";"2163-68-0";;;338;279;1538;;"NFMIMWNQWAWNDW-UHFFFAOYSA-N"
753;"Irgarol-descyclopropyl";"Descyclopropyl-irgarol";"30125-65-6";;581;342;283;;;"MWWBDLRPMWTLRX-UHFFFAOYSA-N"
754;"Isoproturon-didemethyl";"Didesmethyl-isoproturon";"56046-17-4";;;56233787;285;;;"ABBKOIZWGCVCKE-UHFFFAOYSA-N"
755;"Atrazin-Desisopropyl";"Desisopropyl-atrazin";"1007-28-9";;;210;287;961;;"IVENSCMCQBJAKW-UHFFFAOYSA-N"
756;"Diuron-desdimethyl";"Didesmethyl-diuron";"2327-02-8";;;56233768;289;776;;"CYESCLHCWJKRKM-UHFFFAOYSA-N"
757;"Sulcotrion-CMBA";"Sulcotrion-CMBA";"53250-83-2";;;56233832;291;1009;;"CTTWSFIIFMWHLQ-UHFFFAOYSA-N"
758;"Diuron-desmonomethyl";"Monodesmethyl-diuron";"3567-62-2";;;56233769;294;775;;"IDQHRQQSSQDLTR-UHFFFAOYSA-N"
759;"N,N-Dimethylaminosulfanilid";"DMSA";"4710-17-2";;;56233789;296;761;;"QCDQDISRALTLNQ-UHFFFAOYSA-N"
760;"Isoproturon-monodemethyl";"Monodesmethyl-isoproturon";"34123-57-4";;;56233788;304;865;;"DOULWWSSZVEPIN-UHFFFAOYSA-N"
761;"Atrazin-Desethyl";"Desethyl-atrazin";"6190-65-4";;;41;309;695;;"DFWFIQKMSFGDCQ-UHFFFAOYSA-N"
762;"3-Phenoxybenzoesäure";"3-Phenoxybenzoesaeure";"3739-38-6";;;58658273;326;692;;"NXTDJHZGHOFSQG-UHFFFAOYSA-N"
763;"2,4-dimethylphenylformamid";"N-2-4-dimethylphenyl-formamid";"60397-77-5";;;56233845;330;1509;;"JOFDPSBOUCXJCC-UHFFFAOYSA-N"
764;"N,N-dimethyl-N'-(4-methylphenyl)-sulfamid";"DMST";"66840-71-9";;;56233806;340;982;;"UDCDOJQOXWCCSD-UHFFFAOYSA-N"
765;"Metolachlor-ESA";"Metolachlor-ESA";"171118-09-5";;548;56233799;502;1031;;"CIGKZVUEZXGYSV-UHFFFAOYSA-N"
766;"Flufenacet-ESA";"Flufenacet-ESA";"201668-32-8";;;56233776;663;814;;"SZCMHDLOUVZYST-UHFFFAOYSA-N"
767;"Flufenacet-OXA";"Flufenacet-OXA";"201668-31-7";;;56233777;664;815;;"FFKNXXCOXIZLJD-UHFFFAOYSA-N"
768;"Propachlor-ESA";"Propachlor-ESA";"123732-85-4";;;56233820;665;;;"BFSZJLBDHMMCAH-UHFFFAOYSA-N"
769;"Propachlor-OXA";"Propachlor-OXA";"70628-36-3";;;56233821;666;;;"HYHJOUPYTUBFIX-UHFFFAOYSA-N"
770;"Simazin-2-hydroxy";"2-Hydroxy-simazin";"2599-11-3";;;405;668;962;;"YQIXRXMOJFQVBV-UHFFFAOYSA-N"
771;"Terbutylazin-desethyl";"Desethyl-terbuthylazin";"30125-63-4";;;413;671;1494;;"LMKQNTMFZLAJDV-UHFFFAOYSA-N"
772;"Terbutylazin-desethyl-2-hydroxy";"Desethyl-2-hydroxy-terbuthylazin";"66753-06-8";;;56233836;672;2164;;"NUISVCFZNCYUIM-UHFFFAOYSA-N"
773;"Chloridazon-desphenyl";"Desphenyl-chloridazon";"6339-19-1";;106;56233754;698;1104;;"FEWPCPCEGBPTAL-UHFFFAOYSA-N"
774;"Chloridazon-methyl-desphenyl";"Methyl-desphenyl-chloridazon";"17254-80-7";;107;56233755;699;1105;;"XNSGCNYTNLWRKM-UHFFFAOYSA-N"
775;"Metazachlor-ESA";"Metazachlor-ESA";"172960-62-2";;544;56233795;705;890;;"IPVCSECPEVHQOV-UHFFFAOYSA-N"
776;"Metazachlor-OXA";"Metazachlor-OXA";"1231244-60-2";;545;56233796;706;889;;"PHMHHVKFXZNTKU-UHFFFAOYSA-N"
777;"3,5-dibromo-4-hydroxybenzoesäure";"3-5-Dibrom-4-hydroxybenzoesaeure";"3337-62-0";;;56233853;804;;;"PHWAJJWKNLWZGJ-UHFFFAOYSA-N"
778;"Dimethachlor-ESA";"Dimethachlor-ESA";"	1231710-75-0";;591;56233763;2535;1045;;"RVSCDWJKJDBFRS-UHFFFAOYSA-N"
779;"Dimethachlor-OXA";"Dimethachlor-OXA";"1086384-49-7";;590;56233764;2536;1044;;"MHGMSAFPNAKIRZ-UHFFFAOYSA-N"
780;"Chlorothalonil R611968";"Chlorothalonil_R611968";;;;;2893;;;"IODGSFOOWTXKAE-UHFFFAOYSA-N"
781;"Prothioconazol-desthio";"Prothioconazol-desthio";"120983-64-4";;404;;3176;938;;"HHUQPWODPBDTLI-UHFFFAOYSA-N"
782;"Fluazifop";"Fluazifop";"69335-91-7";;218;56233773;147;812;;"YUVKUEAFAVKILW-UHFFFAOYSA-N"
785;"Propazin-2-hydroxy";"2-Hydroxy-propazin";"7374-53-0";;;;142;925;;"RUOTUMSRCIMLJK-UHFFFAOYSA-N"
786;"Tefluthrin";"Tefluthrin";"79538-32-2";;440;;3431;617;;"ZFHGXWPMULPQSE-SZGBIDFHSA-N"
787;"AMPA";"AMPA";"1066-51-9";;42;56233870;3467;842;;"MGRVRXRGTBOSHW-UHFFFAOYSA-N"
788;"Sulfamethazin";"Sulfamethazin";"57-68-1";;428;252;181;1829;;"ASWVTGNCAZCNNR-UHFFFAOYSA-N"
792;"Magnesiumphosphid";;"12057-74-8";"";;;;1090;;"VUBDMGXNLNDGIY-UHFFFAOYSA-N"
793;"ortho-Benzyl-p-chlorphenol";;"120-32-1";"";;;3318;;;
796;"Acequinocyl";;"57960-19-7";"";23;;4094;10;;"QDRXWCAVUNHOGA-UHFFFAOYSA-N"
797;"Bixafen";"Bixafen";"581809-46-3";"";78;;3479;1250;;"LDLMOOXUCMHBMZ-UHFFFAOYSA-N"
798;"Cyprosulfamid";"Cyprosulfamid";"221667-31-8";"";;;;1283;;"OAWUUPVZMNKZRY-UHFFFAOYSA-N"
799;"Emamectinbenzoat";"Emamectinbenzoat";"155569-91-8";"";187;58658593;10213;1326;;"GCKZANITAMOIAR-XWVCPFKXSA-N"
800;"Fenarimol";"Fenarimol";"60168-88-9";"";;378;11249;291;;"NHOWDZOIZKMVAI-UHFFFAOYSA-N"
801;"Fluopicolid";"Fluopicolid";"239110-15-7";"";224;;3483;337;;"GBOYJIHYACSLGN-UHFFFAOYSA-N"
802;"Fluopyram";"Fluopyram";"658066-35-4";"";225;;3484;1362;;"KVDJTXBXMWJJEF-UHFFFAOYSA-N"
803;"Flutolanil";"Flutolanil";"66332-96-5";"";239;;3524;352;;"PTCGDEVVHUXTMP-UHFFFAOYSA-N"
805;"Isoxaflutol";"Isoxaflutol";"141112-29-0";"";;;3488;412;;"OYIKARCXOQLFHF-UHFFFAOYSA-N"
806;"Kaliumiodid";;"7681-11-0";"";282;;10403;1529;;"NLKNQRATVPKPDG-UHFFFAOYSA-M"
807;"Kaliumphosphonat";;;"";283;;;2600;;
808;"Kaliumthiocyanat";;"333-20-0";"";284;;;1530;;"ZNNZYHKDIALBAK-UHFFFAOYSA-M"
809;"Maleinsäurehydrazid";"Maleinhydrazid";"123-33-1";"10071-13-3, BLW Statisikdaten nein (Bewilligung beendet)";;;3489;422;;"BGRDGMRNKXEXQD-UHFFFAOYSA-N"
810;"Picloram";"Picloram";"1918-02-1";"";382;;3532;525;;"NQQVFXUMIDALNH-UHFFFAOYSA-N"
811;"Pyroxsulam";"Pyroxsulam";"422556-08-9";"";414;;3493;1133;;"GLBLPMUBLHYFCW-UHFFFAOYSA-N"
812;"Spirotetramat";"Spirotetramat";"203313-25-1";"";424;;3494;1119;;"CLSVJBIHYWPGQY-GGYDESQDSA-N"
813;"Thiencarbazon-methyl";"Thiencarbazon-methyl";"317815-83-1";"";457;;3496;1241;;"XSKZXGDFSCCXQX-UHFFFAOYSA-N"
814;"Tolclofos-methyl";"Tolclofos-methyl";"57018-04-9";"";464;56233892;3540;644;;"OBZIQQJJIKNWNO-UHFFFAOYSA-N"
815;"Triticonazol";"Triticonazol";"131983-72-7";"";496;;3557;673;;"PPDBOQMNKNNODG-NTEUORMPSA-N"
816;"Z9-14 Ac";;"16725-53-4";"";;;;1392;;"XXPBOEBNDHAAQH-SREVYHEPSA-N"
818;"Atenolol";"Atenolol";"29122-68-7";"EQS basiert auf Gemisch";47;266;169;2965;1;"METKIMKYRPQLGS-UHFFFAOYSA-N"
819;"Azithromycin";"Azithromycin";"83905-01-5";;53;257;190;3678;;"MQTOSJVFKKJCRP-OHJWJPDZSA-N"
820;"Bezafibrat";"Bezafibrat";"41859-67-0";;70;283;209;;;"IIBYAHWJQTYFKB-UHFFFAOYSA-N"
821;"Carbamazepin";"Carbamazepin";"298-46-4";;94;265;194;;;"FFGPTBGBLSHEPO-UHFFFAOYSA-N"
822;"Phenazon";"Phenazon";"60-80-0";;;304;338;;;"VEQOALNAAJBPNY-UHFFFAOYSA-N"
823;"Primidon";"Primidon";"125-33-7";;;343;195;;;"DQMZLTXERSFNPB-UHFFFAOYSA-N"
824;"Propranolol";"Propranolol";"525-66-6";;399;268;171;;;"AQHHHDLHHXJYJD-UHFFFAOYSA-N"
825;"Roxithromycin";"Roxithromycin";"80214-83-1";;;285;192;;;"RXZBMPWDPOLZGW-XMRMVWPWSA-N"
826;"Sotalol";"Sotalol";"3930-20-9";;;269;170;;;"ZBMZVLHSJCTVON-UHFFFAOYSA-N"
827;"Ciprofloxacin";"Ciprofloxacin";"85721-33-1";;122;261;276;1763;;"MYSWGUAQZAJSOK-UHFFFAOYSA-N"
828;"Clarithromycin";"Clarithromycin";"81103-11-9";;125;256;191;;;"AGOYDEPGAOXOCK-KCBOHYOISA-N"
829;"Amidotrizoesäure";"Amidotrizoesaeure";"117-96-4";"737-31-5, 131-49-7";;347;239;;;"YVPYQUNUQOZFHG-UHFFFAOYSA-N"
830;"Diclofenac";"Diclofenac";"15307-86-5";;161;259;201;1933;;"DCOPUUMXTXDBNB-UHFFFAOYSA-N"
831;"Erythromycin";"Erythromycin";"114-07-8";"7540-22-9, 374700-25-1";191;255;189;1850;;"ULGZDMOVFRHVEP-RWJQBGPGSA-N"
832;"Fenofibrat";"Fenofibrat";"49562-28-9";;;293;336;;;"YMTINGFKWWXKFG-UHFFFAOYSA-N"
833;"Fluconazol";"Fluconazol";"86386-73-4";;;56233774;328;;;"RFHAOTPXVQNOHP-UHFFFAOYSA-N"
834;"Fluoxetin";"Fluoxetin";"54910-89-3";;559;56233778;334;1851;;"RTHCYVBBDHJXIQ-UHFFFAOYSA-N"
835;"Ibuprofen";"Ibuprofen";"15687-27-1";;260;258;203;;;"HEFNNWSXXWATRW-UHFFFAOYSA-N"
836;"Iohexol";"Iohexol";"66108-95-0";;270;274;231;;;"NTHXOOBQLCIOLC-UHFFFAOYSA-N"
837;"Iomeprol";"Iomeprol";"78649-41-9";;;272;240;;;"NJKDOADNQSYQEV-UHFFFAOYSA-N"
838;"Iopamidol";"Iopamidol";"60166-93-0";;;270;241;;;"XQZXYNRDCRIARQ-LURJTMIESA-N"
839;"Iopromid";"Iopromid";"73334-07-3";;;271;242;;;"DGAIEPBNLOQYER-UHFFFAOYSA-N"
840;"Ioxitalaminsäure";"Ioxithalaminsaeure";"28179-44-4";;;58658342;342;;;"OLAOYPRJVHUHCF-UHFFFAOYSA-N"
841;"Mefenaminsäure";"Mefenaminsaeure";"61-68-7";;308;286;208;;;"HYYBABOKPJLUIN-UHFFFAOYSA-N"
842;"Metformin";"Metformin";"657-24-9";;321;56233797;2550;;;"XZWYZXLIPXDOLR-UHFFFAOYSA-N"
843;"Metoprolol";"Metoprolol";"51384-51-1";"EQS Gemisch berücksichtigt - Alte Casnr war  37350-58-6";330;267;172;;1;"IUBSYMUCCVWXPE-UHFFFAOYSA-N"
844;"Naproxen";"Naproxen";"22204-53-1";"EQS basiert auf S-Isomer- wir nur das hergestellt und verwendet, es schein nur eine CAS_Nr zu geben.";347;260;202;;1;"CMWTZPSULFXXJA-VIFPVBQESA-N"
845;"Norfloxacin";"Norfloxacin";"70458-96-7";;555;330;232;1831;;"OGJPXUAPXNRGGI-UHFFFAOYSA-N"
846;"Ofloxacin";"Ofloxacin";"83380-47-6";;;331;3073;1898;;"GSDSWSVVBLHKDQ-UHFFFAOYSA-N"
847;"Pantoprazol";"Pantoprazol";"102625-70-7";;;58658368;644;2958;;"IQPSEEYGBUAQFF-UHFFFAOYSA-N"
848;"Sulfapyridin";"Sulfapyridin";"144-83-2";;430;251;234;1922;;"GECHUMIMRBOMGK-UHFFFAOYSA-N"
849;"Tramadol";"Tramadol";"27203-92-5";;468;56233838;2567;3008;;"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"
850;"Venlafaxin";"Venlafaxin";"93413-69-5";;501;56233841;645;;;"PNVNVHUZROJLTJ-UHFFFAOYSA-N"
851;"Paracetamol";"Paracetamol";"103-90-2";;365;349;243;;;"RZVAJINKPMORJF-UHFFFAOYSA-N"
852;"Ketoprofen";"Ketoprofen";"22071-15-4";;285;281;205;1800;;"DKYWVDODHFEZIM-UHFFFAOYSA-N"
853;"Clindamycin";"Clindamycin";"18323-44-9";;572;264;657;1796;;"KDLRVYVGXIQJDK-NOWPCOIGSA-N"
854;"Sulfamethoxazol";"Sulfamethoxazol";"723-46-6";;429;263;298;3689;;"JLKIGFTWXXRPMT-UHFFFAOYSA-N"
855;"Amoxicillin";"Amoxicillin";"26787-78-0";;554;314;3083;1741;;"LSQZJLSUYDQPKJ-NJBDSQKTSA-N"
856;"Sulfadiazin";"Sulfadiazin";"68-35-9";;;284;179;1740;;"SEEPANYCNGTZFQ-UHFFFAOYSA-N"
857;"Trimethoprim";"Trimethoprim";"738-70-5";;492;253;199;1745;;"IEDVJHCEMCRBQM-UHFFFAOYSA-N"
858;"Clotrimazol";"Clotrimazol";"23593-75-1";;;58658314;329;3686;;"VNFPBHJOKIVQEB-UHFFFAOYSA-N"
859;"Lidocain";"Lidocain";"137-58-6";;;56233792;2572;1903;;"NNJVILVZKWQKPM-UHFFFAOYSA-N"
860;"Furosemid";"Furosemid";"54-31-9";;;56233780;2600;1770;;"ZZUFCTLCJUWOSV-UHFFFAOYSA-N"
861;"Doramectin";;"117704-25-2";;;;3202;1814;;"QLFZZSKTJWDQOS-NJPOTTGESA-N"
862;"Ivermectin";;"70288-86-7";;;;3415;1455;;"AZSNMRSAGSSBNP-XPNPUAGNSA-N"
863;"Enrofloxacin";"Enrofloxacin";"93106-60-6";;;329;3667;1762;;"SPFYMRJSYKOXGV-UHFFFAOYSA-N"
864;"Sulfadimethoxin";"Sulfadimethoxin";"122-11-2";;;348;183;1833;;"ZZORFUFYDOWNEF-UHFFFAOYSA-N"
865;"Sulfathiazol";"Sulfathiazol";"72-14-0";;;56233833;185;;;"JNMRHUJNCSQMMB-UHFFFAOYSA-N"
866;"Tylosin";"Tylosin";"1401-69-0";;;312;187;1742;;"WBPYTXDJUQJLPQ-VMXQISHHSA-N"
867;"Acetyl-sulfadiazin";"Acetyl-sulfadiazin";"127-74-2";;;56233807;248;;;"NJIZUWGMNCUKGU-UHFFFAOYSA-N"
868;"Acetyl-sulfamethoxazol";"Acetyl-sulfamethoxazol";"21312-10-7";;;337;299;;;"GXPIUNZCALHVBA-UHFFFAOYSA-N"
869;"Acetyl-sulfadimethoxin";"Acetyl-sulfadimethoxin";"24341-30-8";;;56233808;245;;;"DQWIIKBKAIPUPY-UHFFFAOYSA-N"
870;"Acetyl-sulfamethazin";"Acetyl-sulfamethazin";"100-90-3";;;56233809;247;;;"LJKAKWDUZRJNPJ-UHFFFAOYSA-N"
871;"Acetyl-sulfathiazol";"Acetyl-sulfathiazol";"127-76-4";;;56233810;249;;;"KXNXWINFSDKMHD-UHFFFAOYSA-N"
872;"Clofibrinsäure";"Clofibrinsaeure";"882-09-7";;;280;204;2940;;"TXCGAZHTZHNUAI-UHFFFAOYSA-N"
873;"Fenofibrinsäure";"Fenofibrinsaeure";"42017-89-0";;;294;337;;;"MQOBSOSZFYZQOK-UHFFFAOYSA-N"
874;"4-Acetamidoantipyrin";"4-Acetamido-antipyrin";"83-15-8";;;56233856;236;;;"OIAGWXKSCXPNNZ-UHFFFAOYSA-N"
875;"Pentachlorophenol";"Pentachlorphenol";"87-86-5";;372;83;3718;513;;"IZUPBVBPLAPZRR-UHFFFAOYSA-N"
876;"PFOA";"PFOA";"335-67-1";;;58658377;2717;;;"SNGREZUHAYWORS-UHFFFAOYSA-N"
877;"PFOS";"PFOS";"1763-23-1";;374;56233911;2728;;;"YFSUTJLHUFNCNZ-UHFFFAOYSA-N"
878;"Hexachlorbenzen";"Hexachlorbenzol";"118-74-1";;253;124;;380;;"CKAPSXZOOQJIBF-UHFFFAOYSA-N"
879;"Oxadixyl";"Oxadixyl";"77732-09-3";;;195;3100;497;;"UWVQIROCRJWDKL-UHFFFAOYSA-N"
880;"2,4,5-T";"2-4-5-T";"93-76-5";;;56233866;;1532;;"SMYMJHWAQXWPDB-UHFFFAOYSA-N"
881;"Metobromuron";"Metobromuron";"3060-89-7";;329;191;11383;464;;"WLFDQEVORAMCIM-UHFFFAOYSA-N"
882;"Metolachlor";"Metolachlor";"51218-45-2";"Cas Nr. gilt für Gemisch";420;192;268;465;1;"WVQBLGZPHOPPFO-UHFFFAOYSA-N"
883;"Aldrin";"Aldrin";"309-00-2";;31;115;;21;;"QBYJBZPUGVGKQQ-SJJAEHHWSA-N"
884;"DDT";"DDT";"50-29-3";;364;118;3086;204;;"YVGGHNCTFXOJCH-UHFFFAOYSA-N"
885;"Dieldrin";"Dieldrin";"60-57-1";;165;119;;226;;"DFBKLUNHFCTMDC-PICURKEMSA-N"
886;"Endrin";"Endrin";"72-20-8";;189;121;3203;266;;"DFBKLUNHFCTMDC-QINJUESRSA-N"
887;"Hexachlorcyclohexan";;"608-73-1";;255;58658336;;3111;;""
888;"Lindan";"Lindan";"58-89-9";;295;81;3798;370;;"JLYXXMFPNIAWKQ-GNIYUCBRSA-N"
889;"Isodrin";"Isodrin";"465-73-6";;278;56233900;;1535;;"QBYJBZPUGVGKQQ-DIFDVCDBSA-N"
891;"N-N-Dimethylsulfamid";"N-N-Dimethylsulfamid";"3984-14-3";;;58658357;341;;;"QMHAHUAQAJVBIW-UHFFFAOYSA-N"
892;"2-Aminosulfonylbenzoesaeuremethylester";"2-Aminosulfonylbenzoesaeuremethylester";"57683-71-3";;;56233849;126;930;;"VSOOBQALJVLTBH-UHFFFAOYSA-N"
893;"3-(2,2-dichlorvinyl)-2,2-dimethylcyclopropanecarboxylic acid";;"55701-05-8";;;;324;702;;
894;"3-Phenoxybenzyl alcohol";"3-Phenoxybenzylalkohol";"13826-35-2";;;58658274;325;;;"KGANAERDZBAECK-UHFFFAOYSA-N"
895;"4-chlor-2-methylphenol";"2-Methyl-4-chlorphenol";"1570-64-5";;;56233918;307;876;;
896;"4-Isopropylanilin";"4-Isopropylanilin";"99-88-7";;;56233858;52;;;"LRTFPLFDLJYEKT-UHFFFAOYSA-N"
897;"Acetochlor-OXA";"Acetochlor-OXA";"194992-44-4";;;56233741;102;1247;;"OTKTUNJJKYTOFF-UHFFFAOYSA-N"
898;"Alachlor-ESA";"Alachlor-ESA";"142363-53-9";;;56233742;99;1506;;"UTCJUUGCHWHUNI-UHFFFAOYSA-N"
899;"Alachlor-OXA";"Alachlor-OXA";"171262-17-2";;;56233743;100;1507;;"MHCYOELBTPOBIU-UHFFFAOYSA-N"
900;"Chlorothalonil R182281";"Chlorothalonil_R182281";"28343-61-5";"SDS-3701";588;;111;729;;"MDQKYGOECVSPIW-UHFFFAOYSA-N"
906;"Metribuzin-Diketo";"Diketo-metribuzin";"56507-37-0";;;56233802;93;897;;"AHBXXEZLRFCZSF-UHFFFAOYSA-N"
907;"N-2-4-dimethylphenyl-N-methylformamidin";"N-_2-4-dimethylphenyl_-N-methylformamidin";"33089-74-6";;;56233804;331;1508;;"JIIOLEGNERQDIP-UHFFFAOYSA-N"
